Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
45	34	0	0.61773738	4.66632389e-10	3.01845607e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
46	35	0	0.631464877	4.3352372e-10	4.39820374e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
47	35	0	0.645192375	3.88909033e-10	5.67269167e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
48	36	0	0.658919872	3.49034843e-10	6.786031e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
49	37	0	0.672647369	3.4032407e-10	7.89119362e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
50	37	0	0.686374867	2.93921796e-10	8.83959023e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
51	38	0	0.700102364	2.64737209e-10	9.71321951e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
52	39	0	0.713829861	2.34205075e-10	1.06118995e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
53	39	0	0.727557359	2.10162588e-10	1.14279988e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
54	40	0	0.741284856	1.88912369e-10	1.21688528e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
55	41	0	0.755012353	1.71226516e-10	1.28480909e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
56	41	0	0.768739851	1.53657754e-10	1.34716175e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
57	42	0	0.782467348	1.40273195e-10	1.40555039e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
58	42	0	0.796194845	1.21974039e-10	1.45883879e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
59	43	0	0.809922343	1.12653286e-10	1.53632002e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
60	44	0	0.82364984	9.80754132e-11	1.61107786e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
61	44	0	0.837377337	1.72179102e-10	1.7066259e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
62	45	0	0.851104835	1.49478018e-10	1.79520333e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
63	46	0	0.864832332	1.39821068e-10	1.87860817e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
64	46	0	0.878559829	1.24816256e-10	1.96275218e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
65	47	0	0.892287327	1.25570515e-10	2.04165637e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
66	48	0	0.906014824	1.12316286e-10	2.15087953e-10	-1.28525468e-10	4.70344568e-10	5.98870036e-10	0	0	0	0	0	3
67	48	0	0.919742322	1.13177494e-10	2.21620466e-10	-8.51472629e-11	4.70344568e-10	5.55491831e-10	0	0	0	0	0	3
68	49	0	0.933469819	1.02203121e-10	2.26683989e-10	-2.85065815e-11	4.70344568e-10	4.9885115e-10	0	0	0	0	0	3
69	50	0	0.947197316	1.22880036e-10	2.3077552e-10	4.69006948e-11	4.70344568e-10	4.23443873e-10	0	0	0	0	0	3
70	50	0	0.960924814	1.12588417e-10	2.32550863e-10	7.11027687e-11	4.70344568e-10	3.99241799e-10	0	0	0	0	0	3
71	51	0	0.974652311	1.10131911e-10	2.33605705e-10	7.8185054e-11	4.70344568e-10	3.92159514e-10	0	0	0	0	0	3
72	51	0	0.988379808	8.1271931e-11	2.33689134e-10	8.1271931e-11	4.70344568e-10	3.89072637e-10	0	0	0	0	0	3
73	52	0	1.00210731	6.53568276e-11	2.31408676e-10	6.53568276e-11	4.70344568e-10	4.0498774e-10	3.26126845e-06	0	100	0	0	3
74	53	0	1.0158348	6.39110213e-11	2.24998199e-10	6.39110213e-11	4.70344568e-10	2.91274261e-10	3.26126007e-06	0	100	0	0	3
75	53	0	1.0295623	6.75104426e-11	2.1567391e-10	6.39110213e-11	4.70344568e-10	2.91274261e-10	3.26125218e-06	0	100	0	0	3
76	54	0	1.0432898	9.30668019e-11	2.07040856e-10	6.39110213e-11	4.70344568e-10	2.69685532e-10	3.26124472e-06	0	100	0	0	3
77	54	0	1.05701729	4.11254376e-11	1.9863871e-10	4.11254376e-11	4.70344568e-10	2.57865974e-10	3.26123769e-06	0	100	0	0	3
78	55	0	1.07074479	3.33091044e-11	1.91437209e-10	3.33091044e-11	4.70344568e-10	2.45572116e-10	3.26123102e-06	0	100	0	0	3
79	56	0	1.08447229	6.75607685e-11	1.83376005e-10	3.33091044e-11	4.70344568e-10	2.31942388e-10	3.26122471e-06	0	100	0	0	3
80	56	0	1.09819979	6.01612846e-11	1.72891992e-10	3.33091044e-11	4.70344568e-10	2.17742396e-10	3.26121873e-06	0	100	0	0	3
81	57	0	1.11192728	3.93552186e-11	1.61243631e-10	3.33091044e-11	4.66632389e-10	2.03504574e-10	3.2612131e-06	0	100	0	0	3
82	57	0	1.12565478	4.45211927e-11	1.49835221e-10	3.33091044e-11	4.3352372e-10	1.89707097e-10	3.26120778e-06	0	100	0	0	3
83	58	0	1.13938228	3.11886453e-11	1.389613e-10	3.11886453e-11	3.88909033e-10	1.76962218e-10	3.26120279e-06	0	100	0	0	3
84	59	0	1.15310978	-5.20981841e-11	1.27042186e-10	-5.20981841e-11	3.49034843e-10	1.65828824e-10	3.26119804e-06	0	100	0	0	3
85	59	0	1.16683727	2.9792618e-11	1.18414017e-10	-5.20981841e-11	3.4032407e-10	1.54777198e-10	3.26119357e-06	0	100	0	0	3
