Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	46	0	0.864832332	101396.437	101393.725	101390.254	101396.437	6.18305225	0	0	0	0	0	3
64	46	0	0.878559829	101396.489	101393.882	101390.254	101396.489	6.23504619	0	0	0	0	0	3
65	47	0	0.892287327	101396.533	101394.047	101390.254	101396.533	6.27872212	0	0	0	0	0	3
66	48	0	0.906014824	101396.589	101394.217	101390.254	101396.589	6.33451349	0	0	0	0	0	3
67	48	0	0.919742322	101396.624	101394.387	101390.254	101396.624	6.36970933	0	0	0	0	0	3
68	49	0	0.933469819	101396.669	101394.561	101390.384	101396.669	6.28498503	0	0	0	0	0	3
69	50	0	0.947197316	101396.705	101394.732	101390.64	101396.705	6.06546119	0	0	0	0	0	3
70	50	0	0.960924814	101396.744	101394.897	101390.945	101396.744	5.79944272	0	0	0	0	0	3
71	51	0	0.974652311	101396.776	101395.054	101391.261	101396.776	5.51506127	0	0	0	0	0	3
72	51	0	0.988379808	101396.805	101395.204	101391.539	101396.805	5.26627278	0	0	0	0	0	3
73	52	0	1.00210731	101396.829	101395.347	101391.934	101396.829	4.8952353	2.06891845	0	42.2	0	0	3
74	53	0	1.0158348	101396.864	101395.48	101392.34	101396.864	4.52364699	2.06891845	0	45.7	0	0	3
75	53	0	1.0295623	101396.888	101395.603	101392.687	101396.888	4.20090314	2.06891845	0	49.2	0	0	3
76	54	0	1.0432898	101396.92	101395.718	101392.996	101396.92	3.92355708	2.06891845	0	52.7	0	0	3
77	54	0	1.05701729	101396.927	101395.824	101393.217	101396.927	3.52240259	2.06891845	0	58.7	0	0	3
78	55	0	1.07074479	101396.941	101395.924	101393.481	101396.941	2.75478221	2.06891845	0	75.1	0	0	3
79	56	0	1.08447229	101396.956	101396.018	101393.747	101396.956	2.84868337	2.06891845	0	72.6	0	0	3
80	56	0	1.09819979	101396.98	101396.106	101394.022	101396.98	2.93605884	2.06891845	0	70.4	0	0	3
81	57	0	1.11192728	101396.999	101396.186	101394.279	101396.999	2.72060887	2.06891845	0	76	0	0	3
82	57	0	1.12565478	101397.03	101396.261	101394.522	101397.03	2.50784904	2.06891845	0	82.4	0	0	3
83	58	0	1.13938228	101397.034	101396.328	101394.718	101397.034	2.31572055	2.06891845	0	89.3	0	0	3
84	59	0	1.15310978	101397.05	101396.391	101394.915	101397.05	2.13545525	2.06891845	0	96.8	0	0	3
85	59	0	1.16683727	101397.055	101396.449	101395.088	101397.055	1.96720331	2.06891845	0	100	0	0	3
