Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	344	0	0.533211192	101481.499	101468.096	101404.137	102096.166	692.029826	0	0	0	0	0	3
64	349	0	0.541674862	101484.774	101457.906	101404.137	101824.964	420.827189	0	0	0	0	0	3
65	354	0	0.550138531	101487.742	101452.286	101404.137	101609.37	205.233354	0	0	0	0	0	3
66	359	0	0.558602201	101491.193	101450.316	101404.137	101528.463	124.326385	0	0	0	0	0	3
67	364	0	0.567065871	101494.987	101449.759	101404.137	101494.987	90.849957	0	0	0	0	0	3
68	369	0	0.575529541	101499.114	101450.609	101404.137	101499.114	94.9777909	0	0	0	0	0	3
69	374	0	0.58399321	101503.037	101451.647	101404.137	101503.037	98.9005282	0	0	0	0	0	3
70	379	0	0.59245688	101506.558	101453.354	101405.322	101506.558	101.236209	0	0	0	0	0	3
71	384	0	0.60092055	101509.252	101454.965	101405.322	101509.252	103.930182	0	0	0	0	0	3
72	388	0	0.609384219	101511.695	101456.738	101414.078	101511.695	97.6170864	0	0	0	0	0	3
73	393	0	0.617847889	101513.769	101458.4	101416.549	101513.769	97.2197686	0	0	0	0	0	3
74	398	0	0.626311559	101515.191	101460.044	101421.515	101515.191	93.6760156	0	0	0	0	0	3
75	403	0	0.634775229	101516.592	101461.542	101421.515	101516.592	95.0762071	0	0	0	0	0	3
76	407	0	0.643238898	101517.589	101462.953	101421.515	101517.589	96.0732943	0	0	0	0	0	3
77	412	0	0.651702568	101518.583	101464.248	101421.515	101518.583	97.067503	0	0	0	0	0	3
78	416	0	0.660166238	101519.519	101465.4	101421.515	101519.519	98.0030895	0	0	0	0	0	3
79	421	0	0.668629907	101520.149	101466.435	101421.515	101520.149	98.6339651	0	0	0	0	0	3
80	425	0	0.677093577	101520.449	101467.358	101421.515	101520.449	98.9333191	0	0	0	0	0	3
81	430	0	0.685557247	101520.781	101468.222	101421.515	101520.781	99.2652199	0	0	0	0	0	3
82	435	0	0.694020917	101521.415	101469.026	101421.515	101521.415	99.8991899	0	0	0	0	0	3
83	440	0	0.702484586	101521.951	101469.763	101421.515	101521.951	100.435091	0	0	0	0	0	3
84	444	0	0.710948256	101522.206	101470.47	101421.515	101522.206	100.690549	0	0	0	0	0	3
85	449	0	0.719411926	101522.349	101471.175	101421.515	101522.349	100.833245	0	0	0	0	0	3
86	453	0	0.727875595	101522.58	101471.939	101421.515	101522.58	101.06487	0	0	0	0	0	3
87	458	0	0.736339265	101522.766	101472.761	101421.515	101522.766	101.250159	0	0	0	0	0	3
88	462	0	0.744802935	101523.05	101473.648	101421.515	101523.05	101.534257	0	0	0	0	0	3
89	466	0	0.753266605	101523.611	101474.595	101421.515	101523.611	102.095939	0	0	0	0	0	3
90	471	0	0.761730274	101524.053	101475.599	101421.515	101524.053	102.53738	0	0	0	0	0	3
91	475	0	0.770193944	101524.359	101476.679	101421.515	101524.359	102.84337	0	0	0	0	0	3
92	480	0	0.778657614	101524.59	101477.815	101421.515	101524.59	103.074207	0	0	0	0	0	3
93	484	0	0.787121283	101524.622	101478.994	101421.515	101524.622	103.106165	0	0	0	0	0	3
94	488	0	0.795584953	101524.777	101480.227	101421.515	101524.777	103.261713	0	0	0	0	0	3
95	493	0	0.804048623	101524.93	101481.512	101421.515	101524.93	103.414236	0	0	0	0	0	3
96	497	0	0.812512293	101525.073	101482.88	101421.515	101525.073	103.557387	0	0	0	0	0	3
97	502	0	0.820975962	101525.095	101484.33	101421.515	101525.095	103.579247	0	0	0	0	0	3
98	506	0	0.829439632	101524.853	101485.846	101421.515	101525.095	103.579247	0	0	0	0	0	3
99	511	0	0.837903302	101524.646	101487.413	101421.515	101525.095	103.579247	0	0	0	0	0	3
100	515	0	0.846366971	101524.775	101489.023	101421.515	101525.095	103.579247	0	0	0	0	0	3
101	522	0	0.854830641	101525.326	101490.693	101421.515	101525.326	103.810207	0	0	0	0	0	3
102	526	0	0.863294311	101525.676	101492.406	101421.515	101525.676	104.160911	0	0	0	0	0	3
103	530	0	0.871757981	101525.556	101494.14	101421.682	101525.676	103.994663	0	0	0	0	0	3
104	535	0	0.88022165	101525.767	101495.875	101423.57	101525.767	102.19729	0	0	0	0	0	3
105	539	0	0.88868532	101525.597	101497.575	101426.513	101525.767	99.25352	0	0	0	0	0	3
