Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
54	298	0	0.457038165	345.339964	297.620833	293.133823	345.339964	4.45602256	0	0	0	0	0	3
55	303	0	0.465501834	354.721357	298.659025	293.133823	354.721357	5.49421389	0	0	0	0	0	3
56	308	0	0.473965504	364.774372	299.839656	293.133823	364.774372	6.67484509	0	0	0	0	0	3
57	314	0	0.482429174	375.321926	301.163906	293.133823	375.321926	7.99909545	0	0	0	0	0	3
58	319	0	0.490892843	385.88767	302.624661	293.133823	385.88767	9.45984999	0	0	0	0	0	3
59	324	0	0.499356513	396.936211	304.223162	293.133823	396.936211	11.0583508	0	0	0	0	0	3
60	329	0	0.507820183	407.381646	305.94247	293.133823	407.381646	12.7776589	0	0	0	0	0	3
61	334	0	0.516283853	417.103236	308.007791	293.133823	417.103236	14.8429797	0	0	0	0	0	3
62	339	0	0.524747522	425.917977	310.220009	293.133823	425.917977	17.0551977	0	0	0	0	0	3
63	344	0	0.533211192	434.189395	312.570069	293.133823	434.189395	19.4052586	0	0	0	0	0	3
64	349	0	0.541674862	441.702907	315.045343	293.133823	441.702907	21.8805321	0	0	0	0	0	3
65	354	0	0.550138531	448.240884	317.629575	293.133823	448.240884	24.4647637	0	0	0	0	0	3
66	359	0	0.558602201	454.040849	320.310463	293.133823	454.040849	27.1456517	0	0	0	0	0	3
67	364	0	0.567065871	459.5353	323.082921	293.133823	459.5353	29.9181097	0	0	0	0	0	3
68	369	0	0.575529541	464.21476	325.933368	293.133823	464.21476	32.7685571	0	0	0	0	0	3
69	374	0	0.58399321	468.187777	328.850034	293.133823	468.187777	35.6852231	0	0	0	0	0	3
70	379	0	0.59245688	471.431495	331.820766	293.133823	471.431495	38.6559555	0	0	0	0	0	3
71	384	0	0.60092055	474.042179	334.835021	293.133823	474.042179	41.6702105	0	0	0	0	0	3
72	388	0	0.609384219	476.755399	337.894515	293.133823	476.755399	44.7297039	0	0	0	0	0	3
73	393	0	0.617847889	479.051291	340.992295	293.133823	479.051291	47.8274841	0	0	0	0	0	3
74	398	0	0.626311559	481.449268	344.130065	293.133823	481.449268	50.965254	0	0	0	0	0	3
75	403	0	0.634775229	483.442003	347.30107	293.133823	483.442003	54.1362591	0	0	0	0	0	3
76	407	0	0.643238898	485.536071	350.507015	293.133823	485.536071	57.3422037	0	0	0	0	0	3
77	412	0	0.651702568	487.71639	353.749342	293.133823	487.71639	60.5845308	0	0	0	0	0	3
78	416	0	0.660166238	489.739404	357.025426	293.133823	489.739404	63.860615	0	0	0	0	0	3
79	421	0	0.668629907	492.092667	360.34078	293.133823	492.092667	67.1759693	0	0	0	0	0	3
80	425	0	0.677093577	494.244598	363.692052	293.133823	494.244598	70.5272407	0	0	0	0	0	3
81	430	0	0.685557247	496.483761	367.080713	293.133823	496.483761	73.9159023	0	0	0	0	0	3
82	435	0	0.694020917	497.889688	370.492871	293.133823	497.889688	77.3280602	0	0	0	0	0	3
83	440	0	0.702484586	499.810897	373.937107	293.133823	499.810897	80.7722965	0	0	0	0	0	3
84	444	0	0.710948256	501.174386	377.404116	293.133823	501.174386	84.239305	0	0	0	0	0	3
85	449	0	0.719411926	502.517974	380.893562	293.133823	502.517974	87.7287507	0	0	0	0	0	3
86	453	0	0.727875595	503.369081	384.39725	293.133823	503.369081	91.232439	0	0	0	0	0	3
87	458	0	0.736339265	504.480395	387.9195	293.133823	504.480395	94.7546892	0	0	0	0	0	3
88	462	0	0.744802935	504.853421	391.447998	293.133823	504.853421	98.2831867	0	0	0	0	0	3
89	466	0	0.753266605	505.77906	394.991953	293.133823	505.77906	101.827142	0	0	0	0	0	3
90	471	0	0.761730274	506.313355	398.544833	293.133823	506.313355	105.380022	0	0	0	0	0	3
91	475	0	0.770193944	507.22561	402.112947	293.133823	507.22561	108.948136	0	0	0	0	0	3
92	480	0	0.778657614	507.778962	405.690308	293.133823	507.778962	112.525497	0	0	0	0	0	3
93	484	0	0.787121283	508.25791	409.275675	293.133823	508.25791	116.110864	0	0	0	0	0	3
94	488	0	0.795584953	508.028296	412.857231	293.133823	508.25791	119.69242	0	0	0	0	0	3
95	493	0	0.804048623	508.389879	416.444832	293.134277	508.389879	123.280021	0	0	0	0	0	3
96	497	0	0.812512293	508.665805	420.037024	293.137036	508.665805	126.872213	0	0	0	0	0	3
97	502	0	0.820975962	509.246116	423.638842	293.146697	509.246116	130.474031	0	0	0	0	0	3
98	506	0	0.829439632	509.580761	427.246076	293.169815	509.580761	134.081137	0	0	0	0	0	3
99	511	0	0.837903302	510.459915	430.867578	293.218354	510.459915	137.701303	0	0	0	0	0	3
100	515	0	0.846366971	510.227825	434.484403	293.414703	510.459915	141.312069	0	0	0	0	0	3
101	522	0	0.854830641	509.834374	438.091397	293.831779	510.459915	144.903362	0	0	0	0	0	3
102	526	0	0.863294311	509.92214	441.692903	294.590235	510.459915	148.472259	0	0	0	0	0	3
103	530	0	0.871757981	510.43048	445.290241	295.804523	510.459915	152.010872	0	0	0	0	0	3
104	535	0	0.88022165	511.274782	448.881411	297.551049	511.274782	155.507117	0	0	0	0	0	3
105	539	0	0.88868532	510.929127	452.437713	299.903171	511.274782	158.921486	0	0	0	0	0	3
106	543	0	0.89714899	510.558878	455.948641	302.881184	511.274782	162.23316	0	0	0	0	0	3
107	548	0	0.90561266	510.675769	459.411884	306.536494	511.274782	165.429298	0	0	0	0	0	3
108	552	0	0.914076329	510.952985	462.818826	310.97317	511.274782	168.489493	0	0	0	0	0	3
109	556	0	0.922539999	512.005299	466.169361	316.170725	512.005299	171.403201	0	0	0	0	0	3
110	561	0	0.931003669	511.284214	469.421253	322.191216	512.005299	174.117346	0	0	0	0	0	3
111	565	0	0.939467338	511.601848	472.578097	328.960525	512.005299	176.626948	0	0	0	0	0	3
112	570	0	0.947931008	511.539443	475.621079	336.725286	512.005299	175.280013	0	0	0	0	0	3
113	574	0	0.956394678	511.268338	478.53013	345.339964	512.005299	166.665335	0	0	0	0	0	3
114	579	0	0.964858348	511.760929	481.303812	354.721357	512.005299	157.283942	0	0	0	0	0	3
115	583	0	0.973322017	512.108593	483.926933	364.774372	512.108593	147.334221	0	0	0	0	0	3
116	588	0	0.981785687	512.843231	486.394747	375.321926	512.843231	137.521304	0	0	0	0	0	3
117	592	0	0.990249357	512.617834	488.683012	385.88767	512.843231	126.955561	0	0	0	0	0	3
118	596	0	0.998713026	512.378	490.791184	396.936211	512.843231	115.90702	0	0	0	0	0	3
119	600	0	1.0071767	512.832438	492.722788	407.381646	512.843231	105.461584	6.59128222	0	6.2	0	0	3
120	605	0	1.01564037	512.39266	494.472972	417.103236	512.843231	95.7399941	6.59128222	0	6.8	0	0	3
121	609	0	1.02410404	512.434056	496.061819	425.917977	512.843231	86.9252531	6.59128222	0	7.5	0	0	3
122	613	0	1.03256771	512.932624	497.512063	434.189395	512.932624	78.7432287	6.59217615	0	8.3	0	0	3
123	617	0	1.04103137	513.223817	498.829303	441.702907	513.223817	71.5209107	6.59480707	0	9.2	0	0	3
124	622	0	1.04949504	512.961317	500.016943	448.240884	513.223817	64.9829336	6.59638562	0	10.1	0	0	3
125	626	0	1.05795871	512.816089	501.093197	454.040849	513.223817	59.1829689	6.59743799	0	11.1	0	0	3
126	631	0	1.06642238	512.935577	502.074776	459.5353	513.223817	53.6885174	6.59818968	0	12.2	0	0	3
127	635	0	1.07488605	513.155371	502.968444	464.21476	513.223817	49.009057	6.59875345	0	13.4	0	0	3
128	639	0	1.08334972	513.2875	503.786323	468.187777	513.2875	45.0997232	6.59940421	0	14.6	0	0	3
129	644	0	1.09181339	513.703576	504.544919	471.431495	513.703576	42.2720817	6.60117305	0	15.6	0	0	3
130	648	0	1.10027706	513.990199	505.254231	474.042179	513.990199	39.9480205	6.60340198	0	16.5	0	0	3
131	652	0	1.10874073	513.313209	505.908748	476.755399	513.990199	37.2348	6.60525942	0	17.7	0	0	3
132	656	0	1.1172044	513.133545	506.515051	479.051291	513.990199	34.9389082	6.6068311	0	18.9	0	0	3
133	660	0	1.12566807	513.015916	507.081128	481.449268	513.990199	32.5409311	6.60817826	0	20.3	0	0	3
134	665	0	1.13413174	513.625917	507.617405	483.442003	513.990199	30.5481963	6.60934579	0	21.6	0	0	3
135	669	0	1.14259541	514.510821	508.135219	485.536071	514.510821	28.9747497	6.61134355	0	22.8	0	0	3
136	673	0	1.15105908	514.526642	508.618395	487.71639	514.526642	26.8102526	6.6131342	0	24.6	0	0	3
137	677	0	1.15952275	514.00573	509.056551	489.739404	514.526642	24.787238	6.61472589	0	26.6	0	0	3
138	681	0	1.16798642	513.959147	509.460213	492.092667	514.526642	22.4339755	6.61615003	0	29.4	0	0	3
139	686	0	1.17645009	514.301269	509.830356	494.244598	514.526642	20.2820448	6.61743176	0	32.6	0	0	3
140	690	0	1.18491376	513.846658	510.157057	496.483761	514.526642	18.0428814	6.61859141	0	36.6	0	0	3
141	695	0	1.19337743	513.673285	510.443549	497.889688	514.526642	16.636954	6.61964565	0	39.7	0	0	3
142	699	0	1.2018411	513.389004	510.701871	499.810897	514.526642	14.7157451	6.62060821	0	44.9	0	0	3
143	703	0	1.21030477	513.779075	510.934674	501.174386	514.526642	13.3522563	6.62149056	0	49.5	0	0	3
144	707	0	1.21876844	514.619679	511.158763	502.517974	514.619679	12.1017053	6.62241396	0	54.7	0	0	3
145	711	0	1.22723211	514.975538	511.366389	503.369081	514.975538	11.6064579	6.62367694	0	57	0	0	3
146	716	0	1.23569578	514.206897	511.547019	504.480395	514.975538	10.4951438	6.62484637	0	63.1	0	0	3
147	720	0	1.24415945	514.533198	511.714566	504.853421	514.975538	10.1221171	6.62593227	0	65.4	0	0	3
148	724	0	1.25262312	514.312928	511.872224	505.77906	514.975538	9.19647798	6.62694327	0	72	0	0	3
149	728	0	1.26108679	514.817662	512.022867	506.313355	514.975538	8.66218345	6.62788688	0	76.5	0	0	3
150	732	0	1.26955046	514.738258	512.163282	507.22561	514.975538	7.74992862	6.62876961	0	85.5	0	0	3
151	737	0	1.27801413	514.978645	512.2925	507.778962	514.978645	7.19968287	6.62960008	0	92	0	0	3
152	741	0	1.2864778	514.233558	512.400076	508.028296	514.978645	6.95034907	6.63038022	0	95.3	0	0	3
153	745	0	1.29494147	514.470218	512.503615	508.028296	514.978645	6.95034907	6.63111446	0	95.4	0	0	3
154	749	0	1.30340514	514.632408	512.613683	508.389879	514.978645	6.58876585	6.63180637	0	100	0	0	3
