Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
92	480	0	0.778657614	0	0	0	0	0	0	0	0	0	0	3
93	484	0	0.787121283	0	0	0	0	0	0	0	0	0	0	3
94	488	0	0.795584953	0	0	0	0	0	0	0	0	0	0	3
95	493	0	0.804048623	0	0	0	0	0	0	0	0	0	0	3
96	497	0	0.812512293	0	0	0	0	0	0	0	0	0	0	3
97	502	0	0.820975962	0	0	0	0	0	0	0	0	0	0	3
98	506	0	0.829439632	0	0	0	0	0	0	0	0	0	0	3
99	511	0	0.837903302	0	0	0	0	0	0	0	0	0	0	3
100	515	0	0.846366971	0	0	0	0	0	0	0	0	0	0	3
101	522	0	0.854830641	0	0	0	0	0	0	0	0	0	0	3
102	526	0	0.863294311	0	0	0	0	0	0	0	0	0	0	3
103	530	0	0.871757981	0	0	0	0	0	0	0	0	0	0	3
104	535	0	0.88022165	0	0	0	0	0	0	0	0	0	0	3
105	539	0	0.88868532	0	0	0	0	0	0	0	0	0	0	3
106	543	0	0.89714899	0	0	0	0	0	0	0	0	0	0	3
107	548	0	0.90561266	0	0	0	0	0	0	0	0	0	0	3
108	552	0	0.914076329	0	0	0	0	0	0	0	0	0	0	3
109	556	0	0.922539999	0	0	0	0	0	0	0	0	0	0	3
110	561	0	0.931003669	0	0	0	0	0	0	0	0	0	0	3
111	565	0	0.939467338	0	0	0	0	0	0	0	0	0	0	3
112	570	0	0.947931008	0	0	0	0	0	0	0	0	0	0	3
113	574	0	0.956394678	0	0	0	0	0	0	0	0	0	0	3
114	579	0	0.964858348	0	0	0	0	0	0	0	0	0	0	3
115	583	0	0.973322017	0	0	0	0	0	0	0	0	0	0	3
116	588	0	0.981785687	0	0	0	0	0	0	0	0	0	0	3
117	592	0	0.990249357	0	0	0	0	0	0	0	0	0	0	3
118	596	0	0.998713026	0	0	0	0	0	0	0	0	0	0	3
119	600	0	1.0071767	0	0	0	0	0	1e-08	0	100	0	0	3
120	605	0	1.01564037	0	0	0	0	0	1e-08	0	100	0	0	3
121	609	0	1.02410404	0	0	0	0	0	1e-08	0	100	0	0	3
122	613	0	1.03256771	0	0	0	0	0	1e-08	0	100	0	0	3
123	617	0	1.04103137	0	0	0	0	0	1e-08	0	100	0	0	3
124	622	0	1.04949504	0	0	0	0	0	1e-08	0	100	0	0	3
125	626	0	1.05795871	0	0	0	0	0	1e-08	0	100	0	0	3
126	631	0	1.06642238	0	0	0	0	0	1e-08	0	100	0	0	3
127	635	0	1.07488605	0	0	0	0	0	1e-08	0	100	0	0	3
128	639	0	1.08334972	0	0	0	0	0	1e-08	0	100	0	0	3
129	644	0	1.09181339	0	0	0	0	0	1e-08	0	100	0	0	3
130	648	0	1.10027706	0	0	0	0	0	1e-08	0	100	0	0	3
131	652	0	1.10874073	0	0	0	0	0	1e-08	0	100	0	0	3
132	656	0	1.1172044	0	0	0	0	0	1e-08	0	100	0	0	3
133	660	0	1.12566807	0	0	0	0	0	1e-08	0	100	0	0	3
134	665	0	1.13413174	0	0	0	0	0	1e-08	0	100	0	0	3
135	669	0	1.14259541	0	0	0	0	0	1e-08	0	100	0	0	3
136	673	0	1.15105908	0	0	0	0	0	1e-08	0	100	0	0	3
137	677	0	1.15952275	0	0	0	0	0	1e-08	0	100	0	0	3
138	681	0	1.16798642	0	0	0	0	0	1e-08	0	100	0	0	3
139	686	0	1.17645009	0	0	0	0	0	1e-08	0	100	0	0	3
140	690	0	1.18491376	0	0	0	0	0	1e-08	0	100	0	0	3
141	695	0	1.19337743	0	0	0	0	0	1e-08	0	100	0	0	3
142	699	0	1.2018411	0	0	0	0	0	1e-08	0	100	0	0	3
143	703	0	1.21030477	0	0	0	0	0	1e-08	0	100	0	0	3
144	707	0	1.21876844	0	0	0	0	0	1e-08	0	100	0	0	3
145	711	0	1.22723211	0	0	0	0	0	1e-08	0	100	0	0	3
146	716	0	1.23569578	0	0	0	0	0	1e-08	0	100	0	0	3
147	720	0	1.24415945	0	0	0	0	0	1e-08	0	100	0	0	3
148	724	0	1.25262312	0	0	0	0	0	1e-08	0	100	0	0	3
149	728	0	1.26108679	0	0	0	0	0	1e-08	0	100	0	0	3
150	732	0	1.26955046	0	0	0	0	0	1e-08	0	100	0	0	3
151	737	0	1.27801413	0	0	0	0	0	1e-08	0	100	0	0	3
152	741	0	1.2864778	0	0	0	0	0	1e-08	0	100	0	0	3
153	745	0	1.29494147	0	0	0	0	0	1e-08	0	100	0	0	3
154	749	0	1.30340514	0	0	0	0	0	1e-08	0	100	0	0	3
